session,trigger,anchorObservation,anchorCheckpoint,anchorAt,horizonMinutes,endAt,profile,feePpm,cooldown,strategy,maxExposurePpm,activeSeconds,outsideSeconds,recenters,trims,attempted,exited,unavailable,rejected,actions,net_USDG,alpha_USDG,newGas_USDG,feesAfterAnchor_USDG,maxDrawdown_USDG,delta_USDG
5,500000,206,1833,2026-09-08T09:03:02.081Z,30,2026-09-08T09:33:19.000Z,frozen_session6,1000000,0,guard60,526882,1844,0,0,0,False,,,,,999.672983,-0.079283,0.333297,0.574325,0.051549,0.0
5,500000,206,1833,2026-09-08T09:03:02.081Z,30,2026-09-08T09:33:19.000Z,frozen_session6,1000000,0,exit_early,526882,62,0,0,0,True,early_inventory_exit,,,exit@1834,998.564371,-1.187895,0.333297,0.035658,0.578994,-1.108612
5,500000,206,1833,2026-09-08T09:03:02.081Z,30,2026-09-08T09:33:19.000Z,frozen_session6,1000000,0,recenter60,526882,1844,0,0,0,True,,,Frozen mint minimum unavailable,,999.672983,-0.079283,0.333297,0.574325,0.051549,0.0
5,500000,206,1833,2026-09-08T09:03:02.081Z,30,2026-09-08T09:33:19.000Z,frozen_session6,1000000,0,trim25,526882,1844,0,0,0,True,,,Frozen trim funding unavailable,,999.672983,-0.079283,0.333297,0.574325,0.051549,0.0
5,500000,206,1833,2026-09-08T09:03:02.081Z,30,2026-09-08T09:33:19.000Z,frozen_session6,1000000,0,hold80,526882,1844,0,0,0,False,,,,,999.672983,-0.079283,0.333297,0.574325,0.051549,0.0
5,500000,206,1833,2026-09-08T09:03:02.081Z,30,2026-09-08T09:33:19.000Z,frozen_session6,1000000,600,recenter60,526882,1844,0,0,0,False,,,,,999.672983,-0.079283,0.333297,0.574325,0.051549,0.0
5,500000,206,1833,2026-09-08T09:03:02.081Z,30,2026-09-08T09:33:19.000Z,frozen_session6,500000,0,guard60,526882,1844,0,0,0,False,,,,,999.385791,-0.366475,0.333297,0.287156,0.086841,0.0
5,500000,206,1833,2026-09-08T09:03:02.081Z,30,2026-09-08T09:33:19.000Z,frozen_session6,500000,0,exit_early,526882,62,0,0,0,True,early_inventory_exit,,,exit@1834,998.546544,-1.205722,0.333297,0.017829,0.578991,-0.839247
5,500000,206,1833,2026-09-08T09:03:02.081Z,30,2026-09-08T09:33:19.000Z,frozen_session6,500000,0,recenter60,526882,1844,0,0,0,True,,,Frozen mint minimum unavailable,,999.385791,-0.366475,0.333297,0.287156,0.086841,0.0
5,500000,206,1833,2026-09-08T09:03:02.081Z,30,2026-09-08T09:33:19.000Z,frozen_session6,500000,0,trim25,526882,1844,0,0,0,True,,,Frozen trim funding unavailable,,999.385791,-0.366475,0.333297,0.287156,0.086841,0.0
5,500000,206,1833,2026-09-08T09:03:02.081Z,30,2026-09-08T09:33:19.000Z,frozen_session6,500000,0,hold80,526882,1844,0,0,0,False,,,,,999.385791,-0.366475,0.333297,0.287156,0.086841,0.0
5,500000,206,1833,2026-09-08T09:03:02.081Z,30,2026-09-08T09:33:19.000Z,frozen_session6,500000,600,recenter60,526882,1844,0,0,0,False,,,,,999.385791,-0.366475,0.333297,0.287156,0.086841,0.0
